"PROMOTER_TYPE","SURVEY_RESPONSE_DATE","SURVEY_ID","LIKELIHOOD_TO_RECOMMEND","SUPPORT_SATISFACTION","TICKET_NUM"
"Promoter","2018-03-19","6850792","9","9","02847,077,724"
"Promoter","2018-04-13","7245781","10","10","03049,077,724"
"Promoter","2018-04-26","7516558","10","10","03082,077,724"
"Promoter","2017-02-27","1636802","10","10","03574,082,000"
"Promoter","2017-07-27","3615463","9","7","03903,004,000"
"Passive","2016-10-31","754811","8","8","05282,744,744"
"Promoter","2017-10-02","4482027","9","8","07435,489,000"
"Passive","2017-09-07","4163639","8","5","07596,999,724"
"Promoter","2018-03-12","6739311","10","10","07681,442,000"
"Passive","2017-02-21","1577703","7","7","08178,999,744"
"Promoter","2017-07-31","3625263","9","9","08534,999,724"
"Promoter","2016-11-07","853886","9","9","10597,999,706"
"Detractor","2017-01-06","1262890","0","7","11809,999,649"
"Promoter","2017-02-10","1503318","9","9","12829,047,649"
"Promoter","2017-02-27","1638534","10","10","15512,L6Q,000"
"Promoter","2017-02-02","1444086","10","10","15786,004,000"
"Promoter","2018-03-08","6668231","10","10","00002,L6Q,000"
"Promoter","2016-10-21","709665","10","10","00360,122,000"
"Promoter","2017-05-15","2527801","10","10","00419,227,000"
"Promoter","2016-10-19","697536","9","9","00597,070,724"
"Passive","2018-05-11","7976637","8","9","01026,227,000"
"Detractor","2017-11-20","5254473","6","10","01873,227,000"
"Promoter","2016-10-31","816436","10","10","04874,122,000"
"Passive","2017-04-18","2272766","7","1","05532,122,000"
"Passive","2016-10-10","628690","8","9","06273,019,866"
"Promoter","2016-10-31","818105","10","10","07359,082,000"
"Promoter","2017-03-17","1764767","10","10","07596,442,000"
"Detractor","2017-07-03","3389068","5","10","07749,065,618"
"Promoter","2017-02-19","1520674","9","9","08216,999,744"
"Promoter","2017-04-28","2320896","9","8","09695,122,000"
"Detractor","2017-03-26","1888259","6","6","15917,004,000"
"Promoter","2017-04-25","2320285","9","10","16775,999,869"
"Promoter","2018-02-26","6510832","10","7","17746,082,000"
"Promoter","2016-11-07","835597","10","10","17763,442,000"
"Detractor","2017-09-11","4219397","5","5","18511,077,649"
"Promoter","2017-02-06","1444605","9","9","19292,130,702"
"Detractor","2017-02-05","1428456","3","9","19383,L6Q,000"
"Promoter","2017-12-04","5609370","9","8","20973,070,724"
"Promoter","2017-03-21","1811249","9","9","21099,102,616"
"Promoter","2017-06-16","2985430","10","10","21814,000,834"
"Promoter","2017-06-29","3373508","9","9","22212,999,616"
"Promoter","2017-08-15","3805255","10","10","22417,227,000"
"Promoter","2017-09-12","4192934","10","10","22616,004,000"
"Promoter","2017-07-03","3408071","10","10","22795,999,866"
"Promoter","2017-05-09","2439061","10","10","25770,211,788"
"Detractor","2017-04-24","2258579","0","5","26162,999,760"
"Promoter","2016-11-14","854930","9","9","26321,070,618"
"Promoter","2018-04-05","7140014","9","9","27006,228,631"
"Promoter","2017-10-10","4634262","10","9","27559,082,649"
"Promoter","2018-04-18","7374298","10","10","27697,004,000"
